"United Kingdom (includes Great Britain & Northern Ireland)","Number of Trips by Irish Residents on Outbound Travel (Thousand)",539,573,542,583,589,590,653,575,504,603,591,657,575,516,556,623,606,521,632,704,625,618,675,679
"United Kingdom (includes Great Britain & Northern Ireland)","Number of Nights by Irish Residents on Outbound Travel  (Thousand)",2263,1889,2940,2147,2373,2074,3080,2004,1905,2501,2914,2442,1988,1988,2877,1973,2425,1478,2416,1719,2117,2041,2612,2301
"United Kingdom (includes Great Britain & Northern Ireland)","Average Length of Stay by Irish Residents on Outbound Travel  (Nights per Trip)",4.2,3.3,5.4,3.7,4.0,3.5,4.7,3.5,3.8,4.2,4.9,3.7,3.5,3.9,5.2,3.2,4.0,2.8,3.8,2.4,3.4,3.3,3.9,3.4
"United Kingdom (includes Great Britain & Northern Ireland)","Estimated Expenditure by Irish Residents on Outbound Travel  (Euro Million)",216.7,199.0,238.0,218.1,209.1,219.8,261.9,233.1,188.6,268.9,268.5,247.0,249.6,220.8,266.6,293.3,240.3,185.4,291.4,281.1,252.8,239.1,267.8,273.1
"Northern Ireland","Number of Trips by Irish Residents on Outbound Travel (Thousand)",106,134,107,106,122,91,102,81,53,99,104,134,82,59,85,111,91,86,106,171,106,116,131,129
"Northern Ireland","Number of Nights by Irish Residents on Outbound Travel  (Thousand)",305,278,383,283,323,183,339,159,169,265,326,329,172,142,326,210,245,189,212,360,246,227,298,275
"Northern Ireland","Average Length of Stay by Irish Residents on Outbound Travel  (Nights per Trip)",2.9,2.1,3.6,2.7,2.6,2.0,3.3,2.0,3.2,2.7,3.1,2.5,2.1,2.4,3.8,1.9,2.7,2.2,2.0,2.1,2.3,2.0,2.3,2.1
"Northern Ireland","Estimated Expenditure by Irish Residents on Outbound Travel  (Euro Million)",15.0,23.1,20.7,23.9,14.4,12.4,16.9,15.3,14.4,19.6,23.2,18.7,19.8,16.1,25.7,22.2,14.0,15.3,22.7,33.1,22.9,23.8,21.9,34.5
"Great Britain","Number of Trips by Irish Residents on Outbound Travel (Thousand)",433,439,435,477,466,499,551,494,451,504,487,523,493,457,470,513,515,435,526,534,519,502,543,549
"Great Britain","Number of Nights by Irish Residents on Outbound Travel  (Thousand)",1958,1612,2557,1864,2050,1891,2741,1845,1737,2236,2588,2114,1815,1846,2551,1763,243,190,210,359,1871,1814,2315,2026
"Great Britain","Average Length of Stay by Irish Residents on Outbound Travel  (Nights per Trip)",4.5,3.7,5.9,3.9,4.4,3.8,5.0,3.7,3.9,4.4,5.3,4.0,3.7,4.0,5.4,3.4,0.5,0.4,0.4,0.7,3.6,3.6,4.3,3.7
"Great Britain","Estimated Expenditure by Irish Residents on Outbound Travel  (Euro Million)",201.6,175.9,217.3,194.2,194.7,207.4,245.0,217.8,174.2,249.3,245.3,228.3,229.8,204.7,240.9,271.1,226.4,170.2,268.7,248.0,229.9,215.3,245.9,238.6
"France","Number of Trips by Irish Residents on Outbound Travel (Thousand)",100,164,289,77,78,156,234,70,102,186,225,73,97,200,259,76,131,164,216,99,90,151,249,60
"France","Number of Nights by Irish Residents on Outbound Travel  (Thousand)",523,1358,3497,448,555,1412,2880,330,718,1544,2402,464,569,1605,3015,376,799,1182,2885,479,944,1361,2624,279
"France","Average Length of Stay by Irish Residents on Outbound Travel  (Nights per Trip)",5.3,8.3,12.1,5.8,7.1,9.0,12.3,4.7,7.0,8.3,10.7,6.4,5.9,8.0,11.6,5.0,6.1,7.2,13.4,4.8,10.5,9.0,10.5,4.7
"France","Estimated Expenditure by Irish Residents on Outbound Travel  (Euro Million)",71.2,115.4,256.4,52.7,58.8,104.7,221.5,48.3,81.0,124.5,209.3,58.5,73.4,147.3,218.3,47.0,88.7,114.8,197.5,48.6,73.0,141.1,219.0,43.8
"Germany","Number of Trips by Irish Residents on Outbound Travel (Thousand)",37,45,32,50,37,52,37,37,39,46,55,80,29,44,56,73,48,59,51,72,53,54,61,92
"Germany","Number of Nights by Irish Residents on Outbound Travel  (Thousand)",166,242,245,271,176,177,268,110,168,140,569,421,164,306,346,398,249,276,306,304,266,228,456,336
"Germany","Average Length of Stay by Irish Residents on Outbound Travel  (Nights per Trip)",4.5,5.3,7.8,5.4,4.7,3.4,7.3,3.0,4.4,3.0,10.4,5.2,5.6,6.9,6.2,5.5,5.2,4.7,6.0,4.2,5.0,4.2,7.4,3.6
"Germany","Estimated Expenditure by Irish Residents on Outbound Travel  (Euro Million)",23.8,25.1,25.6,37.0,19.9,29.6,23.9,25.9,26.3,36.2,33.1,42.9,16.6,21.9,44.9,43.1,36.8,38.1,41.6,43.5,30.7,42.5,42.4,55.8
"Spain","Number of Trips by Irish Residents on Outbound Travel (Thousand)",216,387,497,240,188,427,522,231,164,378,507,242,195,505,587,264,232,514,573,269,265,594,590,308
"Spain","Number of Nights by Irish Residents on Outbound Travel  (Thousand)",2108,3138,5204,2047,1696,3709,5419,1866,1600,3588,5384,2300,1824,4085,6013,2112,2343,4374,5670,2265,1793,4796,5642,2349
"Spain","Average Length of Stay by Irish Residents on Outbound Travel  (Nights per Trip)",9.8,8.1,10.5,8.5,9.0,8.7,10.4,8.1,9.8,9.5,10.6,9.5,9.4,8.1,10.2,8.0,10.1,8.5,9.9,8.4,6.8,8.1,9.6,7.6
"Spain","Estimated Expenditure by Irish Residents on Outbound Travel  (Euro Million)",161.5,289.0,455.0,187.4,151.3,313.4,476.6,160.1,130.3,316.0,492.1,202.9,149.9,349.2,591.2,227.4,200.8,397.3,622.0,208.5,184.2,465.6,606.5,270.7
"Italy","Number of Trips by Irish Residents on Outbound Travel (Thousand)",48,121,119,60,53,99,91,42,29,100,118,28,64,130,152,72,77,92,140,53,67,132,156,86
"Italy","Number of Nights by Irish Residents on Outbound Travel  (Thousand)",254,975,1245,372,253,676,963,287,184,773,1187,171,348,757,1491,501,566,687,1374,288,345,947,1640,591
"Italy","Average Length of Stay by Irish Residents on Outbound Travel  (Nights per Trip)",5.3,8.1,10.4,6.2,4.8,6.9,10.6,6.9,6.4,7.8,10.0,6.2,5.5,5.8,9.8,7.0,7.3,7.5,9.8,5.4,5.1,7.2,10.5,6.9
"Italy","Estimated Expenditure by Irish Residents on Outbound Travel  (Euro Million)",36.6,90.7,128.0,56.6,37.0,89.0,99.9,30.1,19.7,93.8,118.3,23.0,44.5,96.0,161.6,72.6,63.6,80.7,184.6,28.8,44.9,105.1,154.5,88.7
"Portugal","Number of Trips by Irish Residents on Outbound Travel (Thousand)",24,117,140,70,18,122,140,43,11,109,176,73,10,110,143,50,34,176,183,86,56,147,259,65
"Portugal","Number of Nights by Irish Residents on Outbound Travel  (Thousand)",171,944,1720,540,77,1004,1488,302,131,906,1869,431,105,779,1575,286,264,1209,1781,656,277,1002,2438,613
"Portugal","Average Length of Stay by Irish Residents on Outbound Travel  (Nights per Trip)",7.1,8.1,12.3,7.7,4.3,8.3,10.7,7.0,11.4,8.3,10.6,5.9,10.7,7.1,11.0,5.7,7.7,6.9,9.7,7.6,5.0,6.8,9.4,9.4
"Portugal","Estimated Expenditure by Irish Residents on Outbound Travel  (Euro Million)",15.2,90.9,150.3,43.1,11.9,88.3,121.5,24.8,8.0,82.4,165.9,46.4,10.9,77.4,149.1,31.9,22.1,128.1,174.9,57.4,26.6,109.1,260.4,52.8
"United States and Canada","Number of Trips by Irish Residents on Outbound Travel (Thousand)",77,94,116,101,76,93,116,118,104,89,140,120,99,95,118,110,89,106,153,144,92,136,168,162
"United States and Canada","Number of Nights by Irish Residents on Outbound Travel  (Thousand)",857,1190,2429,1362,842,1098,2490,1261,1123,1031,2754,1386,1258,1215,2167,1237,1019,1210,2681,1424,838,1638,2965,1488
"United States and Canada","Average Length of Stay by Irish Residents on Outbound Travel  (Nights per Trip)",11.2,12.7,20.9,13.5,11.0,11.8,21.4,10.7,10.8,11.6,19.7,11.5,12.7,12.7,18.4,11.2,11.4,11.4,17.6,9.9,9.1,12.0,17.7,9.2
"United States and Canada","Estimated Expenditure by Irish Residents on Outbound Travel  (Euro Million)",109.9,182.0,283.7,211.4,141.4,156.5,292.7,228.3,203.8,169.9,284.9,231.7,191.9,218.4,292.8,222.5,185.6,254.1,323.4,288.0,180.0,277.8,375.3,304.7
"Asia (7)","Number of Trips by Irish Residents on Outbound Travel (Thousand)",44,33,47,54,39,29,35,30,57,38,34,43,57,31,31,47,33,50,55,84,52,41,76,51
"Asia (7)","Number of Nights by Irish Residents on Outbound Travel  (Thousand)",846,656,695,780,672,457,862,475,1006,484,547,455,1175,445,484,707,514,718,1019,1061,856,449,1246,884
"Asia (7)","Average Length of Stay by Irish Residents on Outbound Travel  (Nights per Trip)",19.3,20.0,14.8,14.5,17.3,16.0,24.8,15.6,17.5,12.8,16.0,10.5,20.8,14.5,15.5,15.1,15.4,14.3,18.5,12.7,16.5,10.9,16.3,17.2
"Asia (7)","Estimated Expenditure by Irish Residents on Outbound Travel  (Euro Million)",66.2,72.4,110.2,97.4,86.6,73.1,131.7,80.2,113.9,72.3,65.6,95.3,106.1,71.5,61.4,129.4,97.2,84.8,95.2,195.2,162.6,88.4,125.8,100.2
"Other Europe (22)","Number of Trips by Irish Residents on Outbound Travel (Thousand)",157,252,218,146,156,183,230,156,117,240,269,155,188,249,276,242,224,269,283,231,272,255,313,294
"Other Europe (22)","Number of Nights by Irish Residents on Outbound Travel  (Thousand)",865,1847,2132,784,852,1108,2517,1089,765,1719,3295,1204,1186,1305,2478,1377,1418,1704,2303,983,1546,1500,2718,1363
"Other Europe (22)","Average Length of Stay by Irish Residents on Outbound Travel  (Nights per Trip)",5.5,7.3,9.8,5.4,5.5,6.1,11.0,7.0,6.5,7.2,12.2,7.8,6.3,5.2,9.0,5.7,6.3,6.3,8.1,4.3,5.7,5.9,8.7,4.6
"Other Europe (22)","Estimated Expenditure by Irish Residents on Outbound Travel  (Euro Million)",116.1,176.1,171.3,81.9,137.5,127.3,206.2,97.6,97.4,196.6,250.7,159.5,122.2,208.2,260.1,148.9,180.6,194.5,259.8,149.0,196.4,195.7,316.6,222.0
"Other countries (26)","Number of Trips by Irish Residents on Outbound Travel (Thousand)",70,38,61,47,66,63,41,62,35,51,37,50,37,45,39,43,47,53,34,57,36,33,24,32
"Other countries (26)","Number of Nights by Irish Residents on Outbound Travel  (Thousand)",1437,469,1208,848,1614,1221,897,1351,599,779,869,922,823,778,688,710,1000,1026,739,932,731,573,366,539
"Other countries (26)","Average Length of Stay by Irish Residents on Outbound Travel  (Nights per Trip)",20.4,12.2,19.8,18.2,24.6,19.4,21.7,21.7,16.9,15.2,23.4,18.3,22.4,17.3,17.6,16.5,21.4,19.2,21.5,16.3,20.3,17.5,15.1,16.7
"Other countries (26)","Estimated Expenditure by Irish Residents on Outbound Travel  (Euro Million)",178.0,60.5,131.5,110.6,158.7,144.3,103.8,157.6,68.9,107.8,92.0,96.4,75.4,99.3,100.5,108.6,108.4,104.3,82.8,159.5,89.0,65.9,70.2,70.2
"All Countries","Number of Trips by Irish Residents on Outbound Travel (Thousand)",1310,1823,2062,1428,1299,1813,2098,1365,1163,1839,2153,1522,1350,1926,2218,1600,1522,2002,2321,1799,1607,2162,2572,1830
"All Countries","Number of Nights by Irish Residents on Outbound Travel  (Thousand)",9491,12708,21314,9600,9110,12936,20865,9074,8199,13466,21791,10196,9440,13262,21135,9678,10840,14054,21384,10470,9713,14535,22707,10743
"All Countries","Average Length of Stay by Irish Residents on Outbound Travel  (Nights per Trip)",7.2,7.0,10.3,6.7,7.0,7.1,9.9,6.6,7.1,7.3,10.1,6.7,7.0,6.9,9.5,6.0,7.1,7.0,9.2,5.8,6.0,6.7,8.8,5.9
"All Countries","Estimated Expenditure by Irish Residents on Outbound Travel  (Euro Million)",995.1,1301.1,1950.1,1096.2,1012.2,1346.1,1939.7,1086.1,937.7,1468.5,1980.4,1203.5,1040.7,1510.1,2146.7,1324.6,1224.1,1582.1,2273.3,1459.5,1240.2,1730.2,2438.5,1481.8
